               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.036289,           0.0076345,           0.0058575,             0.99579,                   1,               0.995,             0.77586,            0.023128,           0.0038753,           0.0031149,           0.0078022,           0.0078022,           0.0078022
                 113,            0.030822,            0.007743,           0.0047332,             0.99571,                   1,               0.995,             0.79543,            0.025637,           0.0039182,           0.0031459,           0.0077824,           0.0077824,           0.0077824
                 114,            0.030068,           0.0083591,           0.0050375,             0.99574,                   1,               0.995,              0.8406,            0.017453,           0.0038328,           0.0031628,           0.0077626,           0.0077626,           0.0077626
                 115,             0.03257,           0.0095742,            0.005395,             0.98499,                   1,               0.995,             0.73766,            0.027336,            0.003982,           0.0031278,           0.0077428,           0.0077428,           0.0077428
                 116,            0.036567,           0.0071214,           0.0049573,              0.9955,                   1,               0.995,             0.70271,            0.029286,           0.0040557,           0.0031154,            0.007723,            0.007723,            0.007723
                 117,            0.034016,           0.0076845,           0.0047069,             0.99499,                   1,               0.995,             0.81431,            0.021225,           0.0038676,           0.0032039,           0.0077032,           0.0077032,           0.0077032
                 118,            0.035717,           0.0075481,           0.0063517,             0.92942,                   1,             0.98605,             0.74448,            0.022221,           0.0037634,           0.0031846,           0.0076834,           0.0076834,           0.0076834
                 119,            0.034356,           0.0084776,           0.0057086,             0.97525,                   1,             0.99452,             0.84822,            0.018757,            0.003846,           0.0032754,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026408,           0.0088073,           0.0066593,             0.99644,                   1,               0.995,             0.81217,            0.014786,           0.0037644,           0.0033302,           0.0076438,           0.0076438,           0.0076438
                 121,            0.024138,            0.008831,           0.0086309,             0.99643,                   1,               0.995,             0.78397,            0.016576,           0.0037226,           0.0033475,            0.007624,            0.007624,            0.007624
                 122,            0.028699,           0.0081031,           0.0061314,             0.97773,                   1,               0.995,             0.79173,            0.026289,           0.0039311,           0.0033444,           0.0076042,           0.0076042,           0.0076042
                 123,            0.036622,           0.0079557,           0.0058736,             0.99603,                   1,               0.995,             0.85869,            0.013842,           0.0035879,           0.0033499,           0.0075844,           0.0075844,           0.0075844
                 124,            0.030157,           0.0083418,           0.0056437,             0.90975,                   1,               0.995,             0.79669,            0.026249,           0.0038074,           0.0033601,           0.0075646,           0.0075646,           0.0075646
                 125,              0.0293,           0.0070121,           0.0057984,             0.99745,                   1,               0.995,             0.76182,            0.020194,           0.0037126,           0.0032548,           0.0075448,           0.0075448,           0.0075448
                 126,            0.029061,           0.0081787,           0.0053027,             0.99619,                   1,               0.995,             0.81209,            0.020387,           0.0035025,             0.00327,            0.007525,            0.007525,            0.007525
                 127,             0.03294,           0.0087953,           0.0049549,              0.9973,                   1,               0.995,             0.73367,            0.022234,           0.0038278,           0.0032533,           0.0075052,           0.0075052,           0.0075052
                 128,             0.03446,           0.0093972,           0.0067652,             0.99416,                   1,               0.995,             0.83549,            0.022672,           0.0034923,           0.0032819,           0.0074854,           0.0074854,           0.0074854
                 129,            0.035694,           0.0074764,            0.005882,              0.9979,                   1,               0.995,             0.72394,            0.021548,           0.0037153,           0.0032588,           0.0074656,           0.0074656,           0.0074656
                 130,              0.0327,           0.0082124,           0.0059273,             0.99281,                   1,               0.995,             0.79498,            0.019451,           0.0035978,           0.0032857,           0.0074458,           0.0074458,           0.0074458
                 131,            0.032105,           0.0079879,           0.0053242,             0.99698,                   1,               0.995,             0.73461,            0.028565,           0.0039434,           0.0032404,            0.007426,            0.007426,            0.007426
